,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
9873,,auditory communication difficulties,,,,widening,,,,,within age,"0-3,and the predicted survival",,,,,,
9874,,interstitial lung disease|hepatitis,,,,covid vaccination,,,,,prior to screening.|the participant,less than (<)12.0 grams per deciliter,,,,,,
9875,,nodal disease,,,,lumbar pathology.||exclusion criteria,,,,,at any time since presentation|life expectancy,≥90 g/l,,,,,,
9876,,spinal cord injury)|patients,,,,day surgery,,,,,in the range of 25-40 kg/m2,<10|massive,,,,,,
9877,,isolated from the same,,,,2);|able to read,,,,,longer than three months||,<70|schizophrenia,,,,,,
9878,,drainage procedures,,,,danish.|planned concomitant,,,,,within the radiotherapy area,>2000/mm3;|have,,,,,,
9879,,cardiorespiratory dysfunction,,,,ethinyl estradiol|previous administration,,,,,within 1 year|known,none,,,,,,
9880,,skin basal cell,,,,therapy;|previous radiation therapy,,,,,within 6 months prior to the screening visit|a history of,1: 18 to 32 kg/m2,,,,,,
9881,,mild apnea,,,,dual antiplatelet therapy,,,,,within next 7 days|has decision making capacity,40 to 70 with facial ptosis,,,,,,
9882,,pituitary insufficiency,,,,pelvic radiotherapy.|subjects,,,,,at the time of screening.|clinically significant,< 65 mmhg,,,,,,
9883,,bruises,,,,mobius stent,,,,,prior to dosing.|participation in more than 3,=< 3.0 x uln||* in the event,,,,,,
9884,,fabry disease,,,,intranasal examination,,,,,prior to pci,> 10 g/dl|platelets,,,,,,
9885,,exacerbations,,,,partial resection,,,,,for at least one year,≥ 8 year older and,,,,,,
9886,,old;|mitral valve insufficiency,,,,ice.||intra procedural,,,,,at the last 2 visits before the end of study,>500 ng/ml,,,,,,
9887,,ici-induced,,,,systemic application,,,,,during the day|inability to understand and sign the study informed consent form|inability to follow oral instructions,>5.7 (pdm/dm,,,,,,
9888,,da,,,,archival biopsy,,,,,for at least 6,> 7.5 g/dl,,,,,,
9889,,haemodynamic instability,,,,ezetimibe|solid organ transplant,,,,,for 180 days after the last dose of treatment.||,≥ 50 kg|the,,,,,,
9890,,unforeseen illness,,,,rapid wash-out,,,,,in the past they must,dose ≥ 20 mg/day,,,,,,
9891,,clinically significant episode,,,,hpv vaccine providers|no clinic,,,,,during the first 4 weeks of treatment,older than 18,,,,,,
9892,,chronic chest infection.|severe obesity,,,,bilateral vasectomy,,,,,within the screening period:||absolute neutrophil count,<4|major,,,,,,
9893,,diabetic gastroparesis|hba1c of the last,,,,cessation of exogenous,,,,,within 14 days prior to vaccination,less than 50% or greater than 90% of the internal diameter|procedure,,,,,,
9894,,erosive reflux disease,,,,cannabis|current,,,,,"for at least 4 weeks prior to cycle 1, day 1.||has any of the following cardiac abnormalities:||symptomatic",≥18 years;|diagnosis of inoca;|availability,,,,,,
9895,,mixed well-differentiated/dedifferentiated,,,,radiologic procedures done,,,,,within the first 28 days,<50mg/dl,,,,,,
9896,,t. trichiura,,,,clinical chemistry/electrocardiography,,,,,within 12 months prior to treatment initiation,equal/over 140 mm hg,,,,,,
9897,,acutely infected,,,,classification of airflow limitation in copd (gold) system,,,,,past 1 month,>= 50%||note,,,,,,
9898,,pni,,,,medical procedure,,,,,prior to apheresis.|positive,20-70 years,,,,,,
9899,,non-live covid19 vaccines,,,,spiral ct,,,,,in the 4 weeks prior to the knowledge,≥ 70.|subjects,,,,,,
9900,,arf,,,,surgical procedures|toxicities,,,,,at time of,30-60 years||presence,,,,,,
9901,,gastrorenal shunt,,,,rescue medications,,,,,within 6 months prior to study,>= 50%,,,,,,
9902,,heart failure.|participants,,,,major surgery leading,,,,,prior to the operation.|patient refusal,< 0.70,,,,,,
9903,,gammopathy|alcohol abuse,,,,ct imaging of the temporal bones,,,,,more than 30,< 30 ml/min/1.73 m2)|alt,,,,,,
9904,,muscle loss,,,,world workshop 2017 criteria,,,,,within the 12 months after,> 250 mumol/l,,,,,,
9905,,electrophysiologic disease,,,,single ablation needle,,,,,14 days prior to screening,=< 14 days prior to registration)|total,,,,,,
9906,,permanently sterilized,,,,radial artery interventional therapy,,,,,within the 3 months|patients,>6 months;|histological,,,,,,
9907,,astigmatism,,,,echocardiogram (echo),,,,,within the past 60 days,≤ 1.5 x uln|creatine kinase ≤ 2.5 x,,,,,,
9908,,epilepsy|deep brain stimulation,,,,onal intervention,,,,,within 24 hours before participation,">2,500 g.|healthy",,,,,,
9909,,abnormal urinary constituents,,,,catheter ablation,,,,,throughout participation,≥ 7.|willingness,,,,,,
9910,,conduct disorders,,,,simple confusional state assessment test,,,,,within 1 year of screening;|patients,alkaline phosphates,,,,,,
9911,,metastatic breast cancer;|measurable disease,,,,etv,,,,,over the last three months.|previously,<60 ml/min/1.73 m2,,,,,,
9912,,adenocarcinoma of the lung.|the tumor harbors,,,,ecg examination,,,,,within 2 weeks before the first dose of lp-168,≥ 18,,,,,,
9913,,sars-cov-2.|receipt,,,,il-12 therapy,,,,,during the study drug use period,less than 24 hours.|use,,,,,,
9914,,primary immunodeficiency disorders|presence,,,,psychotherapy||,,,,,ovaries).|more than 4 weeks after the end of previous,"> or = 1,500/mm3",,,,,,
9915,,type 2 diabetes|hba1c <7,,,,bedtime|active smoking|current drug,,,,,more than 15°,≥ 10 µmol/l)|able,,,,,,
9916,,respiratory tract,,,,malabsorption;|past treatment,,,,,within 12 months of enrollment|no,between 01 january 2000 and 31 december 2022,,,,,,
9917,,pancreatic cancer|planning,,,,"local hospital medical records.|during the period from september 1, 2022 to december 31, 2023, participants who received",,,,,prior to the first dose of encaleret.|participants,100-300×109/l,,,,,,
9918,,skin allergy,,,,cell therapy,,,,,at the time of the first injection with the 6-month triptorelin formulation,1 or more,,,,,,
9919,,inflammatory bladder,,,,dimensions sand,,,,,in the 4 weeks prior to inclusion,≥ 65≤ 85,,,,,,
9920,,chronic medications|did not,,,,normal screening laboratories,,,,,through 120 days after the last dose of the study,disorders|pre-existing,,,,,,
9921,,t-cell lymphoma,,,,nutritional therapy,,,,,within 5 years prior to study treatment.||note: the 5-year,at least 0 to <12 years,,,,,,
9922,,unilateral blindness - bcva,,,,agitated delirium.|mechanical ventilation,,,,,at screening.|subjects,>99,,,,,,
9923,,diabetes;|contraindications,,,,tonic-clonic seizures|a clinical indication,,,,,within 3 months of enterotracker® procedure|inability to provide,18-75|clinically,,,,,,
9924,,granulocyte-colony-stimulating factor [,,,,peri-implantitis|pregnant,,,,,within 7 days before the inclusion visit,≤ 3 times the upper limit of normal,,,,,,
9925,,months|local inflammation,,,,complete endometrial ablation,,,,,within 12 months prior to first dose of study,<6 inches,,,,,,
9926,,bruxism habits,,,,defunctioning ileostomy,,,,,within 3 months of the mri,>= 6 and < 40 years,,,,,,
9927,,high performance liquid chromatography,,,,antibiotic associated diarrhoea,,,,,within the previous year|systemic corticosteroids,3-month,,,,,,
9928,,pelvic hematoma,,,,anterior rhinoscopy,,,,,within 6 months prior to first dose,less than 20/200,,,,,,
9929,,comorbid gad,,,,first-line tha,,,,,within 24 hours is <,more than 10 units alcohol per week,,,,,,
9930,,organic brain disease|presence,,,,pathological histology,,,,,through the length of the study|understands,>75years or age<18years.|2,,,,,,
9931,,chemotherapy;|r0 ideal,,,,cyclodestructive procedure,,,,,at the time of screening.|possess,< 18|catatonia|schizophrenia|alcohol use disorder,,,,,,
9932,,musculoskeletal pathologies contraindicated,,,,"organic brain syndrome""||bilag-2004 disease activity level",,,,,last 7 days,≥27 kg/m^2,,,,,,
9933,,assess measurable disease,,,,androgen deprivation therapy,,,,,within the previous fourteen,> 60ml/mn|lvef,,,,,,
9934,,haemato-oncology disorder,,,,epigenetic therapy,,,,,at least 2 months before the first day of screening;|for,50%;|older than 18,,,,,,
9935,,spinal malformation,,,,treatment|eye surgery,,,,,at least 4 weeks prior to initiation of study drug dosing,equal to or higher than 50% of the lower limit of normal range;|liver function,,,,,,
9936,,intra-spinal disease,,,,gastric resection/bypass,,,,,at least twice a week,≥ 1.4,,,,,,
9937,,bipolar disorder;|hct,,,,treatment regimens||dose escalation cohort,,,,,within 6 months;|left ventricular ejection fraction,< 28 kg/m2,,,,,,
9938,,impaired lung function,,,,pulse,,,,,within 4 weeks of study treatment day 1|active,≤ 35 µm/l,,,,,,
9939,,acutely ill,,,,oral hormone therapies,,,,,in the 30 days before and 30 days after each dose of the study vaccine,45-75 years,,,,,,
9940,,aquagenic urticaria,,,,concomitant administration,,,,,at least six months,> 160/95,,,,,,
9941,,seizure disorder|hospitalization,,,,peritoneal dialysis)|unable to communicate,,,,,during study|history of,> 60 g/l,,,,,,
9942,,smart phone|mothers,,,,eradication treatment,,,,,during the study period.|any,>1.0,,,,,,
9943,,basal cell skin carcinoma basal cell carcinoma,,,,fdg-pet/ct,,,,,at least three episodes,< 35 µmol/l,,,,,,
9944,,criteria:||post-menopausal,,,,local health,,,,,during the study treatment period and up to 10 days after the completion of study treatment|serious,greater than 20 g/day,,,,,,
9945,,investigator|previous malignancy,,,,evt,,,,,within 28 days before vaccination.|received gamma immunoglobulin,≥18 <65 years,,,,,,
9946,,tenosynovitis,,,,cervical malignancy|adenomyosis,,,,,8-week staff mindfulness course,functional class iv;|severe,,,,,,
9947,,myasthenia gravis syndrome|myocardial infarction,,,,pelvic rt|treatment,,,,,throughout participation in the study,18-70;female;|pathologically,,,,,,
9948,,incompatible with electroporation,,,,first-line erlotinib,,,,,within 2 weeks before the baseline assessment|a,equal to or shorter than1.5 times of,,,,,,
9949,,lung tumors,,,,local procedures,,,,,past month|lifetime history,≤ 1.5×uln.||left ventricular ejection fraction,,,,,,
9950,,parent(s)/legal representative(s) able to comply with the protocol,,,,coronary angiography|acute coronary syndrome,,,,,within 72 hours prior to receiving the first dose of study drug,"2, 3 or 4|pregnant",,,,,,
9951,,pain medication|pain,,,,primary knee arthroplasty procedure|phq-ads,,,,,at time of screening/postoperative evaluation)|(increased,more than 3 times a day,,,,,,
9952,,head and/or neck chemoradiation therapy|existing indwelling neurostimulation device,,,,computed tomography (ct) scan thorax,,,,,within 72 hours prior to,more than 3 years later,,,,,,
9953,,allergic laryngeal edema,,,,conservative therapy,,,,,within 6 months prior to randomization.|modified rankin score,> 2,,,,,,
9954,,pentosan polysulfate sodium,,,,lactation period,,,,,during the study.|history of current,spouse,,,,,,
9955,,regularly|febrile illness,,,,slower nerve conduction velocity,,,,,within 14 days before the first use of the study drug,score <10 msec obtained,,,,,,
9956,,herpes zoster ophthalimicus,,,,surgical procedures required,,,,,prior to index date,18 and above,,,,,,
9957,,inflammatory bowel disease.|currently,,,,systemic surgery,,,,,for at least 10 min,≥18 years|participants,,,,,,
9958,,thoracic malformation,,,,restricted diet,,,,,within the past 6 months;|receipt of blood,≤ 3 × uln,,,,,,
9959,,primary physician preference,,,,systematic treatment regimens,,,,,within 5 years before signing informed consent.|the investigator considers,score > 16,,,,,,
9960,,impending herniation,,,,pathogenic germline variant,,,,,at physicians',0-1.||10,,,,,,
9961,,dh,,,,penile,,,,,within the past 8 weeks before first dose of protocol indicated,under 50,,,,,,
9962,,cardiac conduction,,,,standard rt-pcr assay,,,,,after starting to use oral contraceptives;|use,"i/ii),|more than 18 years",,,,,,
9963,,natural dentition,,,,restorative surgery,,,,,at the time of eligibility evaluation,< 30 kilogram,,,,,,
9964,,infusion|stroke,,,,completed radiotherapy,,,,,within 28 days of dosing,<18 kg/m2|currently,,,,,,
9965,,left-handedness,,,,ics)|asthma,,,,,during the last two years.|self-reported,≤ 7|focal,,,,,,
9966,,compromised airway|uncontrolled seizures,,,,standard of care treatment.|patients,,,,,within 6 months of study participation.|as per the investigator's discretion,18-60 years|weight,,,,,,
9967,,transhepatic)|cirrhotic liver disease,,,,axial fracture.|dysmetria.|vertebral surgery,,,,,within 5 years prior to randomization.|has,≥3 months;|histologically,,,,,,
9968,,cognitive impairment|clinical diagnosis,,,,trial.|concurrent psychotherapy,,,,,within 4 weeks prior to the first dose of study treatment.||9,19 to 30 kg/m2,,,,,,
9969,,headache disease,,,,bacille calmette guerin -vaccination,,,,,"within 4 weeks prior to administration of the investigational product.|patients who,",> 1.5 to 3 times the upper limit of,,,,,,
9970,,corneal abnormalities|participants,,,,chest computed tomography (ct) scan|active tuberculosis|significant cardiovascular disease|major surgical procedure,,,,,after enrollment.|at least one,≥ 8 g/dl|total,,,,,,
9971,,gastric neuroendocrine neoplasms,,,,visits|world health organization (who),,,,,within 60 days of screening,less than 18 years old more than 80 years,,,,,,
9972,,life-threatening allergies,,,,supplementary screen contraceptive method,,,,,during the last month,infants:37-41 weeks,,,,,,
9973,,drug-related pneumonitis,,,,eye.|bilateral restricted fundal view,,,,,within 28 days prior to enrollment.|prior minor surgery,at least 6,,,,,,
9974,,neurodegenerative disorders,,,,transabdominal ultrasound,,,,,for the time frames specified below,between 4 and 8 on the,,,,,,
9975,,psychomotor retardation,,,,periodontal surgery,,,,,at least 7 days prior to enrollment,"1-15,|absence of complaints",,,,,,
9976,,metastatic cord,,,,endocrine therapy,,,,,within 30 days prior to step 1 registration and while participating in the study,at least 30% racial/ethnic,,,,,,
9977,,neurologic degenerative diseases,,,,in reunion,,,,,within 180 days prior to the subject's registration,≥ 8.5,,,,,,
9978,,hiv,,,,flare period)|phototherapy,,,,,30 days before the study blood,>18|sinus rhythm|informed,,,,,,
9979,,exclusionary.|active malignancy,,,,dsa examination,,,,,previous three months,>=50 kilogram (kg,,,,,,
9980,,condomless vaginal,,,,antigen test,,,,,past 24 hours,>60).|participant,,,,,,
9981,,knee osteoarthritis,,,,quality of the data.|current substance use disorder,,,,,prior to radiotherapy|patients,18-70;|the,,,,,,
9982,,lower priority,,,,in vitro maturation (ivm),,,,,prior to first dose of study drug.|treatment,>18 years|eligible for,,,,,,
9983,,hiv infection|tuberculosis,,,,morphologic examination of blood,,,,,during the study|current pregnancy,> 40 breaths per minute,,,,,,
9984,,dermabrasion,,,,limbal blood vessel ischemia,,,,,at least 10%,6-15 mm|stones history,,,,,,
9985,,skin grafting.||,,,,induction termination,,,,,within 8 weeks prior to randomization.|mri,>180|weight less than 80 pounds,,,,,,
9986,,unresolved,,,,vitamin d,,,,,less than 4 weeks before,≥9%,,,,,,
9987,,non-melanoma skin cancers)|dizziness,,,,heart failure.|n-terminal pro-b-type natriuretic peptide,,,,,before starting to work,6-10|received,,,,,,
9988,,arterial disease,,,,diagnose of advanced,,,,,before initiation of imp,≥ 18 years|histologically,,,,,,
9989,,anticancer,,,,allogeneic organ transplantation|surgical intervention,,,,,more than 4500 euros,">= 75,000/mm^3",,,,,,
9990,,end-stage acquired immunodeficiency syndrome,,,,coronary artery bypass graft (cabg).|previous history of stroke,,,,,within 3 months of the study.|subject,>210 msec,,,,,,
9991,,gastrointestinal resection,,,,local investigator,,,,,within 14 days of day 1.||the,19 years to 75 years|diagnosis,,,,,,
9992,,atrial,,,,graft versus host disease(gvhd,,,,,within 1 month prior to registration.||laboratory,≥ 15 mm);||the function,,,,,,
